organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
,10.1101/2023.12.22.573117,BIORXIV_2023.12.22.573117,"Bertaccini, G. A.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Visualizing PIEZO1 Localization and Activity in hiPSC-Derived Single Cells and Organoids with HaloTag Technology,,0
,10.1101/2024.09.17.613333,BIORXIV_2024.09.17.613333,"Alam El Din, D.-M.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory,,0
,10.1101/2024.09.13.612950,BIORXIV_2024.09.13.612950,"Ennis, C. S.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Plasma exosomes from individuals with type 2 diabetes drive breast cancer aggression in patient-derived organoids,,0
,10.1101/2024.09.18.613704,BIORXIV_2024.09.18.613704,"Coppola, A.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Non-cell-autonomous control of gastruloid development by the lncRNA T-UCstem1 through DKK1-dependent modulation of WNT signalling,,0
,10.1101/2024.09.19.613645,BIORXIV_2024.09.19.613645,"Shi, M.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Integrating collecting systems in kidney organoids through fusion of distal nephron to ureteric bud.,,0
,10.1101/2024.09.20.614136,BIORXIV_2024.09.20.614136,"Schmied, V.",2024,bioRxiv,,,cc_by,1,0,,,biorxiv preprint ingest,,Microglia determine an immune-challenged environment and facilitate ibuprofen action in human retinal organoids.,,0
,10.1101/2024.09.20.614192,BIORXIV_2024.09.20.614192,"Rufo, J.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,An explainable map of human gastruloid morphospace reveals gastrulation failure modes and predicts teratogens,,0
,10.1101/2024.09.23.614496,BIORXIV_2024.09.23.614496,"Switonska-Kurkowska, K.",2024,bioRxiv,,,cc_by,1,0,,,biorxiv preprint ingest,,Identification of neurodevelopmental organization of the cell populations of juvenile Huntington's disease using dorso-ventral HD organoids and HD mouse embryos,,0
,10.1101/2024.09.23.614441,BIORXIV_2024.09.23.614441,"Major, V.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Watch-breaker: establishment of a microwell array-based miniaturized thymic organoid model suitable for high throughput applications.,,0
,10.1101/2024.09.25.614931,BIORXIV_2024.09.25.614931,"Kumar, D.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,"SARS-CoV-2 ORF3a Protein Impairs Syncytiotrophoblast Maturation, Alters ZO-1 Localization, and Shifts Autophagic Pathways in Trophoblast Cells and 3D Organoids",,0
