organoid_type	doi	pmcid	first_author	year	journal	species	source_cell_type	license	has_methods	has_supplement	gold_candidate	flags	notes
inner-ear	10.1093/stcltm/szae030	PMC11227976	Ma	2024	Stem cells translational medicine	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.6
inner-ear	10.1002/smmd.20230028	PMC11235738	Qi	2024	Smart medicine	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
inner-ear	10.1007/s12264-023-01149-z	PMC11250760	Ma	2024	Neuroscience bulletin	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.6
cholangiocyte	10.3389/fcell.2024.1361084	PMC11260683	Budi	2024	Frontiers in cell and developmental biology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
salivary-gland	10.3389/fimmu.2024.1418703	PMC11263033	Hwang	2024	Frontiers in immunology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.8
neuromuscular	10.1038/s12276-024-01250-x	PMC11263568	Van Lent	2024	Experimental & molecular medicine	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.9
prostate	10.1016/j.xpro.2024.103200	PMC11315182	Jobin	2024	STAR protocols	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
skin	10.1016/j.reth.2024.07.005	PMC11321309	Sivamani	2024	Regenerative therapy	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1038/s41467-024-51559-4	PMC11335976	Kostic	2024	Nature communications	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
salivary-gland	10.1186/s13287-024-03833-x	PMC11346288	Jeon	2024	Stem cell research & therapy	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.9
prostate	10.1186/s13287-024-03886-y	PMC11367998	Wang	2024	Stem cell research & therapy	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.3389/fimmu.2024.1413858	PMC11381393	Huang	2024	Frontiers in immunology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
bone	10.3389/fcell.2024.1459891	PMC11406180	Kong	2024	Frontiers in cell and developmental biology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.1097/cm9.0000000000002889	PMC11407818	Huang	2024	Chinese medical journal	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1016/j.xpro.2024.103316	PMC11419821	Zhang	2024	STAR protocols	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
fallopian-tube	10.1126/sciadv.adp6285	PMC11430475	Crawford	2024	Science advances	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
